Field Name,CO2 Endpoint RelPerm,Formation Temp [C],Latitude,Longitude,Number of Wells,Permeability [mD],Pore Pressure [MPa],Pore Volume,Porosity [-],Salinity [ppm],Swr [-],Temp Gradient
Darwin_009_14,0.237,132.9,59.544875,1.778176,5,400,76,692.818812,0.15,55955.17,0.423,28.999303459485
Fulmar_016_28,0.237,144.16,58.185554,1.505382,70,17.5,51.5,9936.29611101,0.17,91427.58,0.423,37
Fulmar_021_12,0.237,101.62,57.521336,0.397464,38,1600,39.7,3493.030608,0.23,65919.07,0.423,34.998130841121
Fulmar_021_14,0.237,142.82,57.554625,0.720903,8,1600,76.7,4019.68332,0.23,64210.56,0.423,35
Fulmar_021_16,0.237,81.29,57.457633,0.052782,24,1600,29.7,3042.349794,0.23,59596.52,0.423,35
Fulmar_021_18,0.237,95.01,57.358078,0.449926,13,1600,34.8,381.77838,0.23,65435.23,0.423,38.5
Fulmar_021_23,0.237,75.48,57.193361,0.39953,41,1600,26.5,3346.533603,0.23,58314.9,0.423,37.995495495495
Fulmar_021_24,0.237,122.61,57.348217,0.700295,9,1600,48.9,2676.279609,0.23,74541.8,0.423,36.453562340967
Fulmar_021_25,0.237,106.88,57.202762,0.902404,29,1600,50.7,2121.26997528,0.23,58962.3,0.423,40
Fulmar_021_28,0.237,86.3,57.023636,0.586666,8,306.6,29.1,1176.042348,0.18,64231.68,0.423,38.495575221239
Fulmar_021_29,0.237,89.64,57.182104,0.753223,60,1600,35,1747.71353592,0.23,60818.87,0.423,40
Fulmar_021_30,0.237,100.47,57.000842,0.942655,25,306.6,41.4,1094.263128,0.18,63166.28,0.423,38.497085761865
